"filename", "language", "JSON", "JSON with Comments", "XML", "HTML", "JavaScript", "CSS", "TypeScript", "Markdown", "MDX", "Log", "comment", "blank", "total"
"d:\Angular_App\Markdown_Storybook\src\stories\assets\code-brackets.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Angular_App\Markdown_Storybook\src\stories\assets\colors.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Angular_App\Markdown_Storybook\src\stories\assets\comments.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Angular_App\Markdown_Storybook\src\stories\assets\direction.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Angular_App\Markdown_Storybook\src\stories\assets\flow.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Angular_App\Markdown_Storybook\src\stories\assets\plugin.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Angular_App\Markdown_Storybook\src\stories\assets\repo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Angular_App\Markdown_Storybook\src\stories\assets\stackalt.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Angular_App\Markdown_Storybook\src\stories\button.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 17, 8, 56
"d:\Angular_App\Markdown_Storybook\src\stories\button.css", "CSS", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 1, 31
"d:\Angular_App\Markdown_Storybook\src\stories\header.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 5, 76
"d:\Angular_App\Markdown_Storybook\src\stories\header.css", "CSS", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"d:\Angular_App\Markdown_Storybook\src\stories\page.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 5, 78
"d:\Angular_App\Markdown_Storybook\src\stories\page.css", "CSS", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 10, 70
"d:\Angular_App\Markdown_Storybook\src\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Angular_App\Markdown_Storybook\storybook-static\favicon.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Angular_App\Markdown_Storybook\storybook-static\index.html", "HTML", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 60, 131
"d:\Angular_App\Markdown_Storybook\storybook-static\project.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-addons\essentials-actions-2\manager-bundle.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-addons\essentials-backgrounds-3\manager-bundle.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 1, 14
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-addons\essentials-controls-1\manager-bundle.js", "JavaScript", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 59, 5, 118
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-addons\essentials-measure-6\manager-bundle.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-addons\essentials-outline-7\manager-bundle.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
