"filename", "language", "TypeScript", "HTML", "MDX", "comment", "blank", "total"
"d:\Angular_App\Markdown_Storybook\src\app\components\task-list\pure-task-list.component.ts", "TypeScript", 51, 0, 0, 6, 5, 62
"d:\Angular_App\Markdown_Storybook\src\app\components\task-list\task-list.component.html", "HTML", 0, 25, 0, 11, 1, 37
"d:\Angular_App\Markdown_Storybook\src\app\components\task-list\task-list.component.ts", "TypeScript", 26, 0, 0, 6, 5, 37
"d:\Angular_App\Markdown_Storybook\src\app\components\task-list\task-list.mdx", "MDX", 0, 0, 8, 0, 7, 15
"d:\Angular_App\Markdown_Storybook\src\app\components\task-list\task-list.stories.ts", "TypeScript", 94, 0, 0, 10, 22, 126
"Total", "-", 171, 25, 8, 33, 40, 277
